time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,10.8,0.10
2024-01-02,14.2,17.80
2024-01-03,13.1,0.30
2024-01-04,11.8,8.30
2024-01-05,9.1,20.20
2024-01-06,8.7,4.00
2024-01-07,6.7,0.00
2024-01-08,5.9,2.50
2024-01-09,6.7,0.50
2024-01-10,9.7,6.40
2024-01-11,6.8,0.00
2024-01-12,5.5,0.00
2024-01-13,11.3,18.50
2024-01-14,13.9,13.40
2024-01-15,14.1,3.00
2024-01-16,14.6,7.60
2024-01-17,14.2,11.60
2024-01-18,11.1,8.40
2024-01-19,8.5,0.00
2024-01-20,6.2,0.00
2024-01-21,12.3,0.00
2024-01-22,14.5,9.30
2024-01-23,15.5,0.30
2024-01-24,13.5,0.00
2024-01-25,13.2,0.00
2024-01-26,10.9,0.00
2024-01-27,13.3,0.00
2024-01-28,13.1,0.00
2024-01-29,14.3,0.50
2024-01-30,13.3,0.00
2024-01-31,12.2,0.00
2024-02-01,10.3,0.00
2024-02-02,10.3,0.00
2024-02-03,10.9,0.00
2024-02-04,10.5,0.00
2024-02-05,9.5,0.00
2024-02-06,10.8,0.00
2024-02-07,14.6,0.90
2024-02-08,14.6,30.50
2024-02-09,12.7,22.90
2024-02-10,10.3,10.00
2024-02-11,10.4,7.50
2024-02-12,13.0,1.90
2024-02-13,15.2,1.60
2024-02-14,17.8,0.10
2024-02-15,15.1,14.60
2024-02-16,12.9,1.80
2024-02-17,12.1,0.00
2024-02-18,12.9,0.20
2024-02-19,14.3,0.30
2024-02-20,11.7,0.00
2024-02-21,13.0,0.60
2024-02-22,12.8,12.00
2024-02-23,8.8,25.50
2024-02-24,10.4,14.30
2024-02-25,13.4,31.50
2024-02-26,10.0,15.70
2024-02-27,10.3,0.50
2024-02-28,11.3,2.50
2024-02-29,11.0,8.50
2024-03-01,10.9,12.00
2024-03-02,9.2,25.70
2024-03-03,9.1,19.20
2024-03-04,11.4,5.90
2024-03-05,10.0,0.70
2024-03-06,11.6,0.20
2024-03-07,10.7,5.80
2024-03-08,9.1,27.10
2024-03-09,8.3,7.70
2024-03-10,10.7,15.90
2024-03-11,11.6,2.50
2024-03-12,13.1,0.10
2024-03-13,12.9,0.00
2024-03-14,14.3,2.00
2024-03-15,14.8,0.40
2024-03-16,14.6,2.10
2024-03-17,15.9,16.00
2024-03-18,14.0,0.80
2024-03-19,11.8,0.00
2024-03-20,10.6,1.40
2024-03-21,14.9,0.00
2024-03-22,13.9,0.00
2024-03-23,12.9,0.20
2024-03-24,11.8,0.00
2024-03-25,9.4,3.90
2024-03-26,7.2,6.20
2024-03-27,8.9,11.60
2024-03-28,8.4,10.00
2024-03-29,9.7,4.80
2024-03-30,9.0,7.20
2024-03-31,9.1,2.80
2024-04-01,10.6,6.60
2024-04-02,13.3,18.70
2024-04-03,15.1,0.90
2024-04-04,15.5,3.10
2024-04-05,17.9,11.90
2024-04-06,15.3,4.90
2024-04-07,14.4,0.00
2024-04-08,12.0,14.00
2024-04-09,11.6,0.10
2024-04-10,11.9,0.00
2024-04-11,15.8,0.00
2024-04-12,18.4,0.00
2024-04-13,17.1,0.00
2024-04-14,14.9,0.00
2024-04-15,13.8,0.30
2024-04-16,13.2,0.00
2024-04-17,13.5,0.00
2024-04-18,13.5,0.00
2024-04-19,16.0,0.00
2024-04-20,16.6,0.00
2024-04-21,15.8,0.00
2024-04-22,13.7,0.00
2024-04-23,12.1,0.10
2024-04-24,11.7,0.00
2024-04-25,12.3,5.30
2024-04-26,11.2,18.70
2024-04-27,10.2,36.10
2024-04-28,10.6,5.20
2024-04-29,11.3,0.00
2024-04-30,12.3,9.60
2024-05-01,10.3,2.90
2024-05-02,11.0,5.00
2024-05-03,13.0,13.70
2024-05-04,16.3,22.60
2024-05-05,13.8,14.30
2024-05-06,12.2,1.40
2024-05-07,14.4,0.10
2024-05-08,17.6,0.00
2024-05-09,18.1,0.00
2024-05-10,17.5,0.00
2024-05-11,14.4,0.00
2024-05-12,15.5,0.10
2024-05-13,15.3,9.10
2024-05-14,13.1,7.30
2024-05-15,12.1,7.30
2024-05-16,12.5,5.50
2024-05-17,13.3,5.10
2024-05-18,13.8,19.00
2024-05-19,13.6,2.30
2024-05-20,14.1,2.40
2024-05-21,14.2,6.70
2024-05-22,13.7,6.70
2024-05-23,13.2,2.30
2024-05-24,15.2,0.00
2024-05-25,15.6,0.50
2024-05-26,14.7,1.30
2024-05-27,13.7,0.50
2024-05-28,14.2,0.00
2024-05-29,16.4,0.00
2024-05-30,16.7,0.30
2024-05-31,16.3,0.00
2024-06-01,17.4,0.00
2024-06-02,18.0,0.00
2024-06-03,19.5,0.00
2024-06-04,19.1,0.00
2024-06-05,15.9,0.00
2024-06-06,18.3,0.20
2024-06-07,19.8,0.00
2024-06-08,16.9,1.40
2024-06-09,16.6,0.00
2024-06-10,16.1,0.00
2024-06-11,16.0,0.30
2024-06-12,16.1,0.00
2024-06-13,15.7,3.60
2024-06-14,16.7,3.90
2024-06-15,16.3,0.80
2024-06-16,17.8,8.30
2024-06-17,18.2,25.10
2024-06-18,16.1,8.70
2024-06-19,15.6,1.70
2024-06-20,15.6,4.80
2024-06-21,15.8,0.00
2024-06-22,17.6,0.70
2024-06-23,17.8,0.80
2024-06-24,20.0,0.00
2024-06-25,18.5,0.50
2024-06-26,19.5,0.00
2024-06-27,18.8,0.10
2024-06-28,18.1,0.40
2024-06-29,17.2,0.00
2024-06-30,17.5,7.10
2024-07-01,18.4,0.10
2024-07-02,18.7,0.00
2024-07-03,16.9,0.00
2024-07-04,19.7,0.20
2024-07-05,18.3,0.20
2024-07-06,17.5,3.80
2024-07-07,16.5,0.00
2024-07-08,19.3,3.10
2024-07-09,19.1,6.20
2024-07-10,20.5,7.10
2024-07-11,19.7,7.70
2024-07-12,17.5,0.20
2024-07-13,18.9,0.00
2024-07-14,19.5,32.70
2024-07-15,19.0,27.20
2024-07-16,18.1,0.60
2024-07-17,18.2,0.00
2024-07-18,18.5,0.00
2024-07-19,19.7,0.00
2024-07-20,19.9,6.90
2024-07-21,17.6,0.20
2024-07-22,19.7,0.00
2024-07-23,21.5,0.00
2024-07-24,22.2,0.00
2024-07-25,20.4,0.10
2024-07-26,20.1,0.00
2024-07-27,20.9,0.30
2024-07-28,23.8,0.00
2024-07-29,23.2,0.00
2024-07-30,24.3,0.00
2024-07-31,20.3,0.00
2024-08-01,20.2,1.70
2024-08-02,19.3,0.00
2024-08-03,19.6,0.00
2024-08-04,20.5,0.00
2024-08-05,20.9,0.20
2024-08-06,20.8,0.40
2024-08-07,20.7,0.00
2024-08-08,21.5,0.00
2024-08-09,21.8,0.00
2024-08-10,24.6,0.00
2024-08-11,24.6,0.00
2024-08-12,21.2,0.70
2024-08-13,19.6,13.50
2024-08-14,19.2,1.20
2024-08-15,19.1,0.00
2024-08-16,19.9,0.00
2024-08-17,22.0,0.40
2024-08-18,21.7,1.10
2024-08-19,19.3,0.00
2024-08-20,20.6,2.20
2024-08-21,21.1,0.00
2024-08-22,20.4,0.10
2024-08-23,22.1,0.20
2024-08-24,19.9,8.20
2024-08-25,18.2,0.00
2024-08-26,20.5,0.00
2024-08-27,19.2,0.00
2024-08-28,19.0,0.50
2024-08-29,20.2,0.30
2024-08-30,20.5,0.00
2024-08-31,20.8,0.10
2024-09-01,20.8,0.50
2024-09-02,18.7,5.50
2024-09-03,17.5,0.10
2024-09-04,17.5,0.40
2024-09-05,16.2,2.40
2024-09-06,14.8,25.70
2024-09-07,15.4,1.40
2024-09-08,15.9,0.00
2024-09-09,17.0,0.80
2024-09-10,16.9,0.00
2024-09-11,16.9,5.00
2024-09-12,17.8,1.40
2024-09-13,16.7,0.00
2024-09-14,17.4,0.00
2024-09-15,17.6,0.00
2024-09-16,18.9,0.00
2024-09-17,18.4,0.00
2024-09-18,20.0,0.00
2024-09-19,17.4,0.10
2024-09-20,17.4,3.80
2024-09-21,17.0,4.70
2024-09-22,16.0,1.10
2024-09-23,16.4,2.90
2024-09-24,18.0,6.20
2024-09-25,19.8,18.10
2024-09-26,18.2,22.10
2024-09-27,15.1,2.60
2024-09-28,13.9,0.30
2024-09-29,17.6,0.70
2024-09-30,19.2,5.90
2024-10-01,20.0,5.80
2024-10-02,19.0,27.40
2024-10-03,17.2,0.10
2024-10-04,17.9,0.50
2024-10-05,20.1,13.90
2024-10-06,18.8,12.60
2024-10-07,16.8,7.00
2024-10-08,17.2,13.20
2024-10-09,18.0,25.20
2024-10-10,15.3,2.90
2024-10-11,15.6,17.70
2024-10-12,19.3,1.40
2024-10-13,18.1,0.30
2024-10-14,19.1,0.10
2024-10-15,18.2,2.40
2024-10-16,17.4,17.50
2024-10-17,15.1,5.20
2024-10-18,17.1,1.20
2024-10-19,18.0,13.20
2024-10-20,19.7,0.30
2024-10-21,17.1,17.40
2024-10-22,14.5,0.00
2024-10-23,16.4,0.00
2024-10-24,17.0,3.10
2024-10-25,12.0,7.60
2024-10-26,12.1,9.90
2024-10-27,14.5,3.60
2024-10-28,15.0,0.30
2024-10-29,15.1,0.00
2024-10-30,16.7,0.00
2024-10-31,16.8,0.00
2024-11-01,16.8,0.00
2024-11-02,15.9,0.00
2024-11-03,16.3,0.00
2024-11-04,16.0,1.30
2024-11-05,17.2,5.00
2024-11-06,17.5,0.50
2024-11-07,17.5,0.00
2024-11-08,16.0,9.10
2024-11-09,14.8,1.80
2024-11-10,16.7,14.40
2024-11-11,15.6,0.10
2024-11-12,13.9,0.00
2024-11-13,11.7,1.10
2024-11-14,14.0,0.00
2024-11-15,14.5,0.00
2024-11-16,15.1,0.70
2024-11-17,13.7,0.00
2024-11-18,12.0,0.00
2024-11-19,13.5,0.40
2024-11-20,14.4,1.40
2024-11-21,14.3,37.40
2024-11-22,10.3,0.10
