time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,8.0,0.00
2024-01-02,9.4,0.20
2024-01-03,14.8,0.00
2024-01-04,11.2,0.10
2024-01-05,11.0,16.50
2024-01-06,10.3,3.70
2024-01-07,9.3,0.00
2024-01-08,7.2,0.00
2024-01-09,4.6,0.40
2024-01-10,7.9,6.10
2024-01-11,6.8,0.20
2024-01-12,7.1,0.00
2024-01-13,6.5,0.00
2024-01-14,10.1,0.00
2024-01-15,12.5,0.00
2024-01-16,11.8,0.00
2024-01-17,13.6,1.90
2024-01-18,16.1,0.00
2024-01-19,10.1,11.50
2024-01-20,8.0,0.10
2024-01-21,6.5,0.00
2024-01-22,7.2,0.00
2024-01-23,9.1,0.00
2024-01-24,10.9,0.00
2024-01-25,11.5,0.00
2024-01-26,11.8,0.00
2024-01-27,10.5,0.00
2024-01-28,9.9,0.00
2024-01-29,11.9,0.30
2024-01-30,11.8,0.40
2024-01-31,9.3,0.00
2024-02-01,9.5,0.00
2024-02-02,10.3,0.00
2024-02-03,10.7,0.00
2024-02-04,11.2,0.00
2024-02-05,11.1,0.00
2024-02-06,10.5,0.00
2024-02-07,11.8,0.00
2024-02-08,13.3,0.00
2024-02-09,13.3,3.40
2024-02-10,13.0,2.80
2024-02-11,11.6,0.00
2024-02-12,11.7,0.60
2024-02-13,10.8,0.40
2024-02-14,12.0,0.00
2024-02-15,13.0,0.00
2024-02-16,13.1,2.40
2024-02-17,14.5,0.50
2024-02-18,12.0,0.00
2024-02-19,13.0,0.00
2024-02-20,11.7,0.00
2024-02-21,11.3,0.00
2024-02-22,13.5,0.00
2024-02-23,11.6,5.00
2024-02-24,9.3,1.10
2024-02-25,10.2,0.00
2024-02-26,13.8,0.50
2024-02-27,12.0,0.30
2024-02-28,12.3,0.00
2024-02-29,11.4,0.00
2024-03-01,12.7,4.30
2024-03-02,12.1,0.30
2024-03-03,10.6,11.70
2024-03-04,11.1,0.00
2024-03-05,12.3,0.40
2024-03-06,10.1,0.10
2024-03-07,10.3,0.00
2024-03-08,12.5,6.40
2024-03-09,11.6,25.90
2024-03-10,10.6,1.20
2024-03-11,12.3,0.00
2024-03-12,10.5,0.20
2024-03-13,10.8,0.00
2024-03-14,11.0,0.00
2024-03-15,12.8,0.60
2024-03-16,13.6,0.00
2024-03-17,14.9,0.00
2024-03-18,14.3,0.00
2024-03-19,14.9,0.00
2024-03-20,13.8,0.00
2024-03-21,14.2,0.00
2024-03-22,16.1,0.00
2024-03-23,14.6,0.00
2024-03-24,13.6,0.50
2024-03-25,12.4,5.50
2024-03-26,13.9,8.10
2024-03-27,11.4,0.10
2024-03-28,16.7,0.10
2024-03-29,15.3,0.00
2024-03-30,13.6,2.80
2024-03-31,13.4,13.90
2024-04-01,12.7,0.20
2024-04-02,12.6,0.00
2024-04-03,14.1,0.00
2024-04-04,14.6,0.00
2024-04-05,15.0,0.00
2024-04-06,14.9,0.00
2024-04-07,16.0,0.00
2024-04-08,16.8,0.00
2024-04-09,14.2,2.10
2024-04-10,12.2,0.00
2024-04-11,13.4,0.00
2024-04-12,16.2,0.00
2024-04-13,18.0,0.00
2024-04-14,18.8,0.00
2024-04-15,17.1,0.00
2024-04-16,15.2,2.40
2024-04-17,14.4,2.60
2024-04-18,13.3,3.50
2024-04-19,12.9,0.00
2024-04-20,13.2,0.00
2024-04-21,13.3,3.80
2024-04-22,11.7,24.40
2024-04-23,10.4,3.50
2024-04-24,10.7,0.00
2024-04-25,12.4,1.60
2024-04-26,13.6,0.30
2024-04-27,15.1,6.60
2024-04-28,14.5,13.10
2024-04-29,13.8,85.00
2024-04-30,14.9,2.60
2024-05-01,15.5,5.80
2024-05-02,13.9,0.00
2024-05-03,14.0,0.00
2024-05-04,15.8,0.00
2024-05-05,16.4,0.00
2024-05-06,16.1,0.50
2024-05-07,16.0,2.50
