time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,9.3,0.00
2024-01-02,13.8,0.10
2024-01-03,12.8,2.40
2024-01-04,10.5,0.00
2024-01-05,8.4,11.60
2024-01-06,6.6,35.20
2024-01-07,7.1,10.20
2024-01-08,6.5,3.80
2024-01-09,3.6,0.00
2024-01-10,4.4,1.30
2024-01-11,5.3,4.70
2024-01-12,6.2,0.00
2024-01-13,8.9,0.00
2024-01-14,11.7,4.50
2024-01-15,12.0,2.60
2024-01-16,13.4,2.70
2024-01-17,16.6,1.10
2024-01-18,13.1,4.80
2024-01-19,5.3,0.10
2024-01-20,4.0,0.00
2024-01-21,8.5,0.00
2024-01-22,13.1,0.70
2024-01-23,13.7,0.50
2024-01-24,11.4,0.00
2024-01-25,11.9,0.00
2024-01-26,9.9,0.00
2024-01-27,11.6,0.00
2024-01-28,13.5,0.00
2024-01-29,13.8,0.00
2024-01-30,12.3,0.00
2024-01-31,11.1,0.00
2024-02-01,9.6,0.60
2024-02-02,11.3,1.40
2024-02-03,11.1,0.00
2024-02-04,10.8,0.00
2024-02-05,9.9,0.00
2024-02-06,10.3,0.00
2024-02-07,10.8,0.10
2024-02-08,15.3,8.70
2024-02-09,15.0,11.10
2024-02-10,10.4,13.30
2024-02-11,10.0,2.10
2024-02-12,11.9,2.40
2024-02-13,12.0,0.00
2024-02-14,15.1,0.00
2024-02-15,17.4,10.00
2024-02-16,12.3,7.00
2024-02-17,9.4,0.00
2024-02-18,10.2,1.60
2024-02-19,12.5,4.60
2024-02-20,10.4,0.00
2024-02-21,12.1,0.00
2024-02-22,14.0,6.80
2024-02-23,7.2,3.40
2024-02-24,7.5,15.50
2024-02-25,12.2,16.60
2024-02-26,9.0,13.80
2024-02-27,8.5,15.80
2024-02-28,10.5,4.50
2024-02-29,10.1,8.60
2024-03-01,9.8,1.50
2024-03-02,9.0,17.30
2024-03-03,6.7,4.10
2024-03-04,9.2,8.20
2024-03-05,8.6,2.70
2024-03-06,8.4,0.00
2024-03-07,12.6,0.20
2024-03-08,11.4,3.00
2024-03-09,10.9,3.70
2024-03-10,9.9,10.70
2024-03-11,9.7,4.80
2024-03-12,10.9,1.40
2024-03-13,12.5,0.00
2024-03-14,15.2,0.00
2024-03-15,14.8,0.30
2024-03-16,14.7,0.00
2024-03-17,17.4,0.00
2024-03-18,15.7,0.20
2024-03-19,15.7,1.00
2024-03-20,14.6,0.00
2024-03-21,15.2,0.00
2024-03-22,15.1,0.40
2024-03-23,12.4,2.30
2024-03-24,11.2,0.20
2024-03-25,10.1,3.70
2024-03-26,8.5,9.10
2024-03-27,11.4,2.00
2024-03-28,12.4,3.40
2024-03-29,11.8,8.70
2024-03-30,11.2,5.00
2024-03-31,10.2,5.70
2024-04-01,11.4,2.70
2024-04-02,12.5,2.10
2024-04-03,16.7,0.00
2024-04-04,18.4,0.00
2024-04-05,21.4,0.00
2024-04-06,22.1,0.00
2024-04-07,16.5,7.60
2024-04-08,14.1,9.10
2024-04-09,10.4,2.70
2024-04-10,11.0,0.00
2024-04-11,12.6,0.00
2024-04-12,17.0,0.00
2024-04-13,18.1,0.00
2024-04-14,17.1,0.00
2024-04-15,13.0,1.70
2024-04-16,11.8,4.10
2024-04-17,11.0,5.10
2024-04-18,11.5,3.80
2024-04-19,11.2,0.00
2024-04-20,11.8,0.00
2024-04-21,11.2,0.00
2024-04-22,10.8,0.00
2024-04-23,9.5,21.40
2024-04-24,10.4,0.00
2024-04-25,10.2,4.10
2024-04-26,11.5,8.50
2024-04-27,11.6,6.30
2024-04-28,9.8,0.20
2024-04-29,11.2,0.40
2024-04-30,13.1,3.00
2024-05-01,10.7,12.40
2024-05-02,10.5,6.00
2024-05-03,13.6,0.70
2024-05-04,18.5,1.60
2024-05-05,15.5,9.70
2024-05-06,13.6,2.10
2024-05-07,13.4,3.00
2024-05-08,14.7,0.30
2024-05-09,16.0,0.00
2024-05-10,18.9,0.00
2024-05-11,18.1,0.30
2024-05-12,14.8,0.20
2024-05-13,16.0,11.60
2024-05-14,13.6,13.70
2024-05-15,12.3,4.40
2024-05-16,13.4,4.70
2024-05-17,13.7,9.20
2024-05-18,14.0,5.40
2024-05-19,13.6,5.60
2024-05-20,14.4,3.60
2024-05-21,13.6,8.70
2024-05-22,14.0,8.20
2024-05-23,13.9,1.50
2024-05-24,14.3,0.00
2024-05-25,17.1,0.00
2024-05-26,15.0,1.70
2024-05-27,14.7,0.90
2024-05-28,15.2,0.00
2024-05-29,16.3,0.00
2024-05-30,15.5,3.70
2024-05-31,14.6,1.10
2024-06-01,14.5,2.10
2024-06-02,15.8,2.60
2024-06-03,16.3,0.60
2024-06-04,17.8,0.00
2024-06-05,18.6,0.00
2024-06-06,18.1,0.00
2024-06-07,18.9,0.00
2024-06-08,18.1,6.90
2024-06-09,16.4,5.20
2024-06-10,16.1,0.50
2024-06-11,15.4,2.90
2024-06-12,15.4,1.20
2024-06-13,16.5,0.00
2024-06-14,17.4,2.10
2024-06-15,16.8,0.10
2024-06-16,17.6,0.00
2024-06-17,20.7,0.00
2024-06-18,19.8,7.40
2024-06-19,17.8,8.50
2024-06-20,17.2,2.30
2024-06-21,17.0,0.70
2024-06-22,17.3,2.00
2024-06-23,17.9,4.30
2024-06-24,19.7,0.40
2024-06-25,20.1,0.00
2024-06-26,22.0,0.00
2024-06-27,20.9,0.10
2024-06-28,19.8,0.30
2024-06-29,17.8,7.10
2024-06-30,17.5,0.70
2024-07-01,17.0,3.40
2024-07-02,17.8,1.60
2024-07-03,17.3,0.00
2024-07-04,18.1,0.00
2024-07-05,19.6,6.00
2024-07-06,17.6,5.00
2024-07-07,16.6,0.10
2024-07-08,20.0,0.00
2024-07-09,20.3,2.50
2024-07-10,21.6,0.30
2024-07-11,22.0,0.00
2024-07-12,18.6,3.00
2024-07-13,18.5,0.00
2024-07-14,19.4,1.00
2024-07-15,20.3,3.10
2024-07-16,19.4,0.20
2024-07-17,20.8,0.00
2024-07-18,21.6,0.00
2024-07-19,22.3,0.00
2024-07-20,21.5,5.70
2024-07-21,18.7,1.90
2024-07-22,20.1,0.00
2024-07-23,21.4,0.00
2024-07-24,21.3,0.40
2024-07-25,21.1,0.30
2024-07-26,20.6,0.00
2024-07-27,20.9,0.00
2024-07-28,24.6,0.10
2024-07-29,25.4,0.00
2024-07-30,27.5,1.10
2024-07-31,24.5,0.00
2024-08-01,22.2,0.10
2024-08-02,20.8,0.40
2024-08-03,21.7,0.10
2024-08-04,21.3,0.00
2024-08-05,21.9,0.10
2024-08-06,22.1,0.00
2024-08-07,21.3,2.40
2024-08-08,21.6,0.00
2024-08-09,22.9,0.00
2024-08-10,24.3,0.00
2024-08-11,29.7,0.00
2024-08-12,23.2,0.40
2024-08-13,22.0,2.50
2024-08-14,20.0,11.00
2024-08-15,19.9,0.90
2024-08-16,20.0,0.00
2024-08-17,21.5,1.00
2024-08-18,20.5,2.60
2024-08-19,19.4,0.00
2024-08-20,19.8,1.40
2024-08-21,20.6,0.50
2024-08-22,19.4,0.00
2024-08-23,21.6,0.00
2024-08-24,21.1,0.90
2024-08-25,19.6,0.80
2024-08-26,19.6,0.00
2024-08-27,21.2,0.00
2024-08-28,21.0,7.60
2024-08-29,20.7,4.40
2024-08-30,21.1,1.00
2024-08-31,22.6,10.80
2024-09-01,21.7,4.00
2024-09-02,19.9,8.90
2024-09-03,18.7,6.00
2024-09-04,18.0,10.60
2024-09-05,15.7,10.20
2024-09-06,16.5,14.90
2024-09-07,16.3,0.50
2024-09-08,16.7,3.40
2024-09-09,17.2,0.90
2024-09-10,18.0,2.00
2024-09-11,17.8,2.20
2024-09-12,15.9,25.30
2024-09-13,14.9,5.20
2024-09-14,13.7,0.00
2024-09-15,13.5,0.00
2024-09-16,13.8,0.00
2024-09-17,15.8,0.60
2024-09-18,16.6,0.10
2024-09-19,18.9,0.00
2024-09-20,18.8,6.50
2024-09-21,18.1,35.40
2024-09-22,17.6,8.40
2024-09-23,16.5,0.40
2024-09-24,17.4,0.90
2024-09-25,21.3,0.00
2024-09-26,19.6,8.60
2024-09-27,15.0,1.90
2024-09-28,13.7,2.60
2024-09-29,16.6,0.00
2024-09-30,17.1,0.00
2024-10-01,19.1,3.50
2024-10-02,16.5,31.90
2024-10-03,15.7,2.00
2024-10-04,13.3,0.00
2024-10-05,17.3,3.20
2024-10-06,21.0,7.20
2024-10-07,18.8,15.90
2024-10-08,19.4,1.10
2024-10-09,20.2,30.90
2024-10-10,14.8,1.30
2024-10-11,16.0,0.20
2024-10-12,20.0,0.10
2024-10-13,19.2,0.00
2024-10-14,19.7,0.20
2024-10-15,21.2,0.20
2024-10-16,19.6,14.90
2024-10-17,14.9,33.60
2024-10-18,15.1,5.50
2024-10-19,17.1,0.10
2024-10-20,19.9,0.10
2024-10-21,17.3,0.00
2024-10-22,15.7,3.30
2024-10-23,15.5,0.00
2024-10-24,18.3,0.00
2024-10-25,14.6,8.90
2024-10-26,11.2,10.20
2024-10-27,12.7,20.40
2024-10-28,12.7,0.10
2024-10-29,14.7,0.00
2024-10-30,15.1,0.60
2024-10-31,16.2,0.00
2024-11-01,17.2,0.00
2024-11-02,15.2,0.00
2024-11-03,17.2,0.00
2024-11-04,17.8,0.00
2024-11-05,17.8,0.00
2024-11-06,15.6,0.00
2024-11-07,15.2,0.00
2024-11-08,16.1,0.00
2024-11-09,14.6,12.00
2024-11-10,13.7,1.10
2024-11-11,14.3,3.30
2024-11-12,11.8,8.60
2024-11-13,9.2,1.00
2024-11-14,9.0,0.00
2024-11-15,11.6,0.00
2024-11-16,14.5,0.00
2024-11-17,11.9,0.10
2024-11-18,13.2,0.20
2024-11-19,12.0,0.00
2024-11-20,13.8,28.40
2024-11-21,14.3,21.00
2024-11-22,10.7,4.80
2024-11-23,13.2,0.00
2024-11-24,16.3,0.00
2024-11-25,14.1,22.50
2024-11-26,9.7,0.00
2024-11-27,10.6,0.00
2024-11-28,10.9,0.00
2024-11-29,14.5,0.00
2024-11-30,13.6,0.00
2024-12-01,15.7,0.00
2024-12-02,12.2,5.10
2024-12-03,11.5,2.80
2024-12-04,10.8,5.10
2024-12-05,12.0,0.10
2024-12-06,15.0,16.10
2024-12-07,11.7,11.40
2024-12-08,8.5,21.70
2024-12-09,8.4,14.80
2024-12-10,7.6,3.30
2024-12-11,6.6,1.30
2024-12-12,6.6,0.00
2024-12-13,6.8,0.10
2024-12-14,6.4,1.70
2024-12-15,8.8,9.30
2024-12-16,7.2,0.00
2024-12-17,10.7,0.00
2024-12-18,15.2,0.40
2024-12-19,12.8,9.40
2024-12-20,8.7,3.90
2024-12-21,9.4,0.60
2024-12-22,10.3,7.30
2024-12-23,10.2,4.00
2024-12-24,10.8,8.60
2024-12-25,11.7,0.30
2024-12-26,10.2,0.00
2024-12-27,10.2,0.00
2024-12-28,8.3,0.00
2024-12-29,8.1,0.00
2024-12-30,6.3,0.00
2024-12-31,4.8,0.00
