time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,19.5,0.00
2024-01-02,19.6,0.00
2024-01-03,20.0,0.00
2024-01-04,18.9,0.00
2024-01-05,19.0,1.90
2024-01-06,18.8,0.90
2024-01-07,18.2,0.00
2024-01-08,19.0,0.00
2024-01-09,19.6,0.00
2024-01-10,18.6,0.00
2024-01-11,21.2,0.00
2024-01-12,21.1,0.00
2024-01-13,21.8,0.00
2024-01-14,22.1,0.00
2024-01-15,22.8,1.70
2024-01-16,24.2,0.00
2024-01-17,19.7,7.30
2024-01-18,19.0,0.50
2024-01-19,19.2,1.30
2024-01-20,18.6,4.20
2024-01-21,18.1,0.80
2024-01-22,18.6,0.00
2024-01-23,19.6,0.00
2024-01-24,19.4,0.00
2024-01-25,19.6,0.00
2024-01-26,21.4,0.00
2024-01-27,21.5,0.00
2024-01-28,21.4,0.00
2024-01-29,20.7,0.00
2024-01-30,21.7,0.00
2024-01-31,21.6,0.00
2024-02-01,20.9,0.00
2024-02-02,19.4,0.00
2024-02-03,19.1,0.00
2024-02-04,20.2,0.00
2024-02-05,19.4,0.00
2024-02-06,19.5,0.00
2024-02-07,20.9,0.00
2024-02-08,21.5,0.00
2024-02-09,21.7,0.00
2024-02-10,21.0,0.60
2024-02-11,19.6,0.00
2024-02-12,20.2,0.00
2024-02-13,21.6,0.00
2024-02-14,21.5,0.00
2024-02-15,20.7,1.20
2024-02-16,18.8,0.00
2024-02-17,19.3,0.00
2024-02-18,20.3,0.10
2024-02-19,21.6,0.00
2024-02-20,19.0,0.00
2024-02-21,19.3,0.00
2024-02-22,18.6,0.00
2024-02-23,18.8,4.30
2024-02-24,18.6,0.80
2024-02-25,18.6,0.40
2024-02-26,18.6,0.60
2024-02-27,18.4,6.00
2024-02-28,18.3,0.70
2024-02-29,18.0,9.10
2024-03-01,17.2,17.10
2024-03-02,17.6,4.60
2024-03-03,17.7,4.70
2024-03-04,17.8,3.50
2024-03-05,18.1,0.10
2024-03-06,18.0,0.00
2024-03-07,18.3,1.50
2024-03-08,17.3,2.20
2024-03-09,19.0,0.40
2024-03-10,18.9,1.40
2024-03-11,17.9,1.80
2024-03-12,16.9,0.00
2024-03-13,19.3,0.00
2024-03-14,19.3,0.60
2024-03-15,19.2,0.00
2024-03-16,21.9,0.00
2024-03-17,22.0,0.00
2024-03-18,19.5,0.00
2024-03-19,19.3,0.00
2024-03-20,18.8,3.00
2024-03-21,18.6,3.60
2024-03-22,16.5,14.90
2024-03-23,15.7,6.60
2024-03-24,17.1,0.50
2024-03-25,18.7,1.50
2024-03-26,17.4,9.70
2024-03-27,17.4,0.80
2024-03-28,17.4,0.00
2024-03-29,18.6,1.00
2024-03-30,18.1,0.00
2024-03-31,18.9,0.10
2024-04-01,18.9,0.20
2024-04-02,18.6,0.00
2024-04-03,19.4,0.30
2024-04-04,19.7,0.00
2024-04-05,21.1,0.00
2024-04-06,20.1,5.60
2024-04-07,19.1,2.00
2024-04-08,19.1,4.20
2024-04-09,19.2,1.30
2024-04-10,20.4,0.00
2024-04-11,25.2,0.00
2024-04-12,25.4,0.00
2024-04-13,23.5,0.00
2024-04-14,23.6,0.00
2024-04-15,24.7,0.00
2024-04-16,24.3,0.00
2024-04-17,23.8,0.00
2024-04-18,22.1,0.00
2024-04-19,20.6,0.00
2024-04-20,20.6,0.20
2024-04-21,19.8,4.90
2024-04-22,19.9,0.30
2024-04-23,20.1,0.00
2024-04-24,21.4,0.00
2024-04-25,19.4,0.00
2024-04-26,18.9,0.00
2024-04-27,19.2,2.70
2024-04-28,18.6,4.70
2024-04-29,18.5,1.90
2024-04-30,19.0,0.80
2024-05-01,19.3,0.40
2024-05-02,19.6,0.20
2024-05-03,19.0,0.00
2024-05-04,18.9,0.00
2024-05-05,19.5,0.00
2024-05-06,20.4,0.00
2024-05-07,20.8,0.00
2024-05-08,22.0,0.00
2024-05-09,22.4,0.00
2024-05-10,21.2,0.10
2024-05-11,20.5,0.20
2024-05-12,19.7,0.80
2024-05-13,20.0,0.00
2024-05-14,19.7,5.40
2024-05-15,18.9,2.70
2024-05-16,18.9,3.10
2024-05-17,19.6,2.40
2024-05-18,19.7,2.60
2024-05-19,19.3,0.20
2024-05-20,19.3,0.00
2024-05-21,19.8,0.00
2024-05-22,19.4,1.90
2024-05-23,19.9,2.30
2024-05-24,19.6,1.60
2024-05-25,20.0,0.00
2024-05-26,20.6,0.00
2024-05-27,20.6,0.00
2024-05-28,19.9,0.40
2024-05-29,20.3,0.00
2024-05-30,20.6,0.00
2024-05-31,20.8,0.80
2024-06-01,21.0,0.40
2024-06-02,21.3,0.00
2024-06-03,20.6,0.00
2024-06-04,20.7,0.30
2024-06-05,21.0,1.40
2024-06-06,20.8,0.30
2024-06-07,22.1,2.30
2024-06-08,22.1,0.00
2024-06-09,21.5,0.00
2024-06-10,21.7,0.20
2024-06-11,20.6,2.40
2024-06-12,20.2,3.00
2024-06-13,20.2,0.80
2024-06-14,20.5,0.00
2024-06-15,20.7,0.20
2024-06-16,20.2,1.50
2024-06-17,20.1,0.00
2024-06-18,21.1,0.00
2024-06-19,21.0,1.60
2024-06-20,20.6,0.00
2024-06-21,20.7,0.00
2024-06-22,20.5,0.60
2024-06-23,21.6,0.00
2024-06-24,21.3,0.00
2024-06-25,20.9,0.80
2024-06-26,20.6,2.40
2024-06-27,20.5,2.30
2024-06-28,20.8,0.60
2024-06-29,21.2,0.50
2024-06-30,20.5,0.00
2024-07-01,21.0,1.20
2024-07-02,20.6,0.80
2024-07-03,21.1,0.00
2024-07-04,21.3,0.00
2024-07-05,20.9,0.20
2024-07-06,21.2,0.00
2024-07-07,21.2,0.30
2024-07-08,20.9,0.00
2024-07-09,21.6,0.00
2024-07-10,22.4,0.30
2024-07-11,22.6,1.90
2024-07-12,23.0,0.00
2024-07-13,22.5,0.00
2024-07-14,22.1,0.00
2024-07-15,23.6,0.00
2024-07-16,22.9,0.00
2024-07-17,22.4,0.00
2024-07-18,23.1,0.00
2024-07-19,25.3,0.00
2024-07-20,25.4,0.00
2024-07-21,22.9,0.10
2024-07-22,22.5,0.50
2024-07-23,23.1,0.00
2024-07-24,25.9,0.00
2024-07-25,27.7,0.00
2024-07-26,25.2,0.00
2024-07-27,23.1,0.00
2024-07-28,22.8,0.40
2024-07-29,23.3,0.60
2024-07-30,22.7,0.20
2024-07-31,22.8,0.00
2024-08-01,22.8,0.20
2024-08-02,23.5,0.00
2024-08-03,25.2,0.00
2024-08-04,24.3,0.00
2024-08-05,22.8,0.00
2024-08-06,22.6,0.00
2024-08-07,23.0,0.10
2024-08-08,22.9,0.70
2024-08-09,22.7,0.00
2024-08-10,23.0,0.00
2024-08-11,23.3,0.00
2024-08-12,23.2,0.00
2024-08-13,23.1,0.00
2024-08-14,23.0,0.00
2024-08-15,22.7,0.70
2024-08-16,24.6,0.00
2024-08-17,26.4,0.00
2024-08-18,25.3,0.00
2024-08-19,25.7,0.00
2024-08-20,25.2,0.20
2024-08-21,24.7,0.00
2024-08-22,24.4,0.00
2024-08-23,22.5,0.00
2024-08-24,23.3,2.50
2024-08-25,23.2,0.80
2024-08-26,23.6,0.00
2024-08-27,23.1,0.00
2024-08-28,22.7,1.60
2024-08-29,23.2,1.60
2024-08-30,22.7,2.60
2024-08-31,22.7,0.20
2024-09-01,22.4,0.00
2024-09-02,22.7,1.50
2024-09-03,22.3,9.20
2024-09-04,21.8,7.30
2024-09-05,22.4,0.70
2024-09-06,22.4,2.70
2024-09-07,22.4,0.00
2024-09-08,22.3,0.30
2024-09-09,22.2,0.00
2024-09-10,22.3,0.00
2024-09-11,22.4,0.80
2024-09-12,22.3,3.40
2024-09-13,22.7,0.70
2024-09-14,22.8,0.00
2024-09-15,22.4,0.00
2024-09-16,22.5,0.00
2024-09-17,22.1,0.60
2024-09-18,21.9,0.00
2024-09-19,21.6,0.00
2024-09-20,22.3,0.00
2024-09-21,22.3,0.00
2024-09-22,22.2,0.00
2024-09-23,22.6,0.00
2024-09-24,22.2,0.00
2024-09-25,22.5,0.00
2024-09-26,22.8,0.00
2024-09-27,22.9,0.00
2024-09-28,23.2,0.70
2024-09-29,22.1,0.50
2024-09-30,22.3,0.00
2024-10-01,22.8,0.00
2024-10-02,22.8,1.10
2024-10-03,23.3,0.70
2024-10-04,23.1,0.00
2024-10-05,23.6,0.00
2024-10-06,23.5,0.00
2024-10-07,23.5,0.00
2024-10-08,23.4,0.30
2024-10-09,22.2,0.00
2024-10-10,23.4,0.00
2024-10-11,23.3,0.00
2024-10-12,23.3,0.60
2024-10-13,22.8,3.00
2024-10-14,22.8,0.30
2024-10-15,22.7,0.00
2024-10-16,23.9,0.00
2024-10-17,22.7,2.60
2024-10-18,22.2,0.00
2024-10-19,21.5,0.00
2024-10-20,22.0,0.00
2024-10-21,21.3,1.00
2024-10-22,21.6,5.60
2024-10-23,21.9,0.50
2024-10-24,21.6,0.00
2024-10-25,21.9,0.20
2024-10-26,20.5,22.00
2024-10-27,20.4,6.10
2024-10-28,20.5,4.80
2024-10-29,19.9,2.90
2024-10-30,19.3,0.00
2024-10-31,18.9,0.00
2024-11-01,19.4,0.00
2024-11-02,20.2,0.00
2024-11-03,20.5,0.00
2024-11-04,20.9,0.00
2024-11-05,21.1,0.00
2024-11-06,21.5,0.00
2024-11-07,22.2,0.00
2024-11-08,26.0,0.00
2024-11-09,27.9,0.00
2024-11-10,26.7,0.00
2024-11-11,22.4,0.00
2024-11-12,20.6,0.60
2024-11-13,20.4,0.70
2024-11-14,19.4,6.10
2024-11-15,19.3,6.50
2024-11-16,19.9,2.70
2024-11-17,20.2,1.70
2024-11-18,20.5,2.30
2024-11-19,21.4,0.20
2024-11-20,23.2,2.10
2024-11-21,24.2,0.30
2024-11-22,23.9,0.00
2024-11-23,23.1,0.00
2024-11-24,21.5,0.00
2024-11-25,21.5,1.40
2024-11-26,21.1,0.90
2024-11-27,22.6,0.00
2024-11-28,24.0,0.00
2024-11-29,23.2,0.00
2024-11-30,24.5,0.00
2024-12-01,23.2,0.00
2024-12-02,22.1,0.00
2024-12-03,20.5,5.00
2024-12-04,20.2,29.60
2024-12-05,19.7,1.90
2024-12-06,19.3,0.00
2024-12-07,19.8,0.30
