time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,4.9,0.00
2024-01-02,5.3,0.10
2024-01-03,10.5,2.00
2024-01-04,9.3,9.60
2024-01-05,6.5,1.00
2024-01-06,5.3,0.00
2024-01-07,3.6,0.00
2024-01-08,1.9,0.00
2024-01-09,5.0,0.20
2024-01-10,5.0,1.90
2024-01-11,3.9,0.50
2024-01-12,1.9,0.00
2024-01-13,3.7,0.00
2024-01-14,6.1,1.10
2024-01-15,11.2,14.10
2024-01-16,12.8,1.70
2024-01-17,11.1,16.30
2024-01-18,11.1,1.50
2024-01-19,7.2,30.70
2024-01-20,5.6,0.00
2024-01-21,5.7,0.00
2024-01-22,5.1,0.00
2024-01-23,6.5,0.00
2024-01-24,9.0,0.00
2024-01-25,9.3,0.00
2024-01-26,10.2,0.00
2024-01-27,10.0,0.00
2024-01-28,9.0,0.00
2024-01-29,9.1,0.00
2024-01-30,7.8,0.00
2024-01-31,6.3,0.00
2024-02-01,9.0,0.00
2024-02-02,8.3,0.00
2024-02-03,7.9,0.00
2024-02-04,8.0,0.00
2024-02-05,7.2,0.00
2024-02-06,8.5,0.00
2024-02-07,7.9,1.10
2024-02-08,9.4,1.10
2024-02-09,9.6,13.70
2024-02-10,7.3,1.10
2024-02-11,4.5,1.30
2024-02-12,9.3,0.20
2024-02-13,11.1,0.10
2024-02-14,11.7,0.00
2024-02-15,11.2,5.40
2024-02-16,11.0,0.90
2024-02-17,8.6,0.00
2024-02-18,8.5,0.00
2024-02-19,10.5,0.00
2024-02-20,10.0,0.00
2024-02-21,9.2,0.00
2024-02-22,10.5,2.60
2024-02-23,6.1,1.30
2024-02-24,5.8,2.30
2024-02-25,9.3,0.60
2024-02-26,8.4,1.60
2024-02-27,6.2,0.00
2024-02-28,6.8,0.00
2024-02-29,6.8,0.00
2024-03-01,6.7,0.00
2024-03-02,6.8,6.80
2024-03-03,5.2,1.50
2024-03-04,8.0,0.70
2024-03-05,7.5,0.00
2024-03-06,6.7,0.00
2024-03-07,7.9,9.40
2024-03-08,6.4,5.60
2024-03-09,6.3,13.40
2024-03-10,7.5,2.60
2024-03-11,8.7,0.00
2024-03-12,8.5,0.00
2024-03-13,10.0,0.00
2024-03-14,10.9,0.00
2024-03-15,11.1,0.30
2024-03-16,12.1,0.00
2024-03-17,14.1,0.00
2024-03-18,14.2,0.00
2024-03-19,15.9,0.00
2024-03-20,15.4,2.10
2024-03-21,16.6,0.10
2024-03-22,17.7,0.00
2024-03-23,17.0,0.00
2024-03-24,16.4,0.00
2024-03-25,12.8,13.30
2024-03-26,7.0,3.70
2024-03-27,8.2,4.40
2024-03-28,10.7,4.60
2024-03-29,8.1,22.60
2024-03-30,6.7,9.60
2024-03-31,6.8,10.10
2024-04-01,7.3,0.60
2024-04-02,8.6,0.30
2024-04-03,12.0,0.40
2024-04-04,12.8,0.00
2024-04-05,14.6,0.00
2024-04-06,17.1,0.00
2024-04-07,16.5,2.00
2024-04-08,13.0,0.30
2024-04-09,9.7,0.00
2024-04-10,11.8,0.00
2024-04-11,16.3,0.00
2024-04-12,16.5,0.00
2024-04-13,18.3,0.00
2024-04-14,19.0,0.00
2024-04-15,20.4,0.00
2024-04-16,18.6,0.00
2024-04-17,15.0,0.00
2024-04-18,14.9,0.00
2024-04-19,14.2,0.00
2024-04-20,17.1,0.00
2024-04-21,16.4,0.00
2024-04-22,12.8,0.00
2024-04-23,10.4,0.00
2024-04-24,11.7,0.00
2024-04-25,13.2,0.20
2024-04-26,12.8,0.00
2024-04-27,11.3,14.80
2024-04-28,10.6,0.50
2024-04-29,11.6,0.50
2024-04-30,12.2,0.00
2024-05-01,10.1,3.00
2024-05-02,9.8,0.10
2024-05-03,11.9,0.00
2024-05-04,15.5,0.00
2024-05-05,15.8,0.30
2024-05-06,15.4,0.70
2024-05-07,15.1,0.00
2024-05-08,16.8,0.00
2024-05-09,19.1,0.00
2024-05-10,21.3,0.00
2024-05-11,21.5,0.00
2024-05-12,21.2,0.20
2024-05-13,20.7,0.70
2024-05-14,16.2,0.80
2024-05-15,13.8,0.00
2024-05-16,13.1,0.00
2024-05-17,14.7,0.60
2024-05-18,15.4,0.00
2024-05-19,15.0,2.10
2024-05-20,14.4,1.60
2024-05-21,14.5,5.90
2024-05-22,15.3,0.00
2024-05-23,17.2,0.00
2024-05-24,19.4,0.00
2024-05-25,21.3,0.00
2024-05-26,21.7,0.00
2024-05-27,22.7,0.00
2024-05-28,23.3,0.00
2024-05-29,25.9,0.00
2024-05-30,26.3,1.00
2024-05-31,22.3,0.00
2024-06-01,19.9,0.00
2024-06-02,20.1,0.00
2024-06-03,21.4,1.40
2024-06-04,23.8,0.00
2024-06-05,26.3,0.00
2024-06-06,27.6,0.00
2024-06-07,27.0,2.60
2024-06-08,20.3,15.50
2024-06-09,19.8,4.80
2024-06-10,16.8,24.10
2024-06-11,17.6,0.00
2024-06-12,17.6,0.60
2024-06-13,18.8,0.00
2024-06-14,22.0,0.00
2024-06-15,22.2,0.00
2024-06-16,22.2,0.00
2024-06-17,23.5,0.00
2024-06-18,21.6,0.20
2024-06-19,18.3,1.80
2024-06-20,17.1,1.60
2024-06-21,19.9,0.00
2024-06-22,23.0,0.00
2024-06-23,23.9,0.00
2024-06-24,25.0,0.00
2024-06-25,26.9,0.60
2024-06-26,25.2,3.30
2024-06-27,26.0,0.40
2024-06-28,23.7,0.40
2024-06-29,19.6,1.40
2024-06-30,20.3,0.20
2024-07-01,21.9,0.20
2024-07-02,22.4,0.00
2024-07-03,24.9,0.00
2024-07-04,28.5,0.00
2024-07-05,29.4,0.00
2024-07-06,27.7,0.10
2024-07-07,23.9,0.00
2024-07-08,25.6,0.00
2024-07-09,26.2,0.00
2024-07-10,27.2,0.00
2024-07-11,28.9,0.00
2024-07-12,27.3,0.00
2024-07-13,26.1,0.00
2024-07-14,26.4,0.00
2024-07-15,25.4,0.00
2024-07-16,25.4,0.00
2024-07-17,27.1,0.00
2024-07-18,29.0,0.00
2024-07-19,30.6,0.00
2024-07-20,29.3,0.00
2024-07-21,26.4,0.00
2024-07-22,26.9,0.00
2024-07-23,30.1,0.00
2024-07-24,32.5,0.00
2024-07-25,32.5,0.00
2024-07-26,30.7,0.00
2024-07-27,31.5,0.00
2024-07-28,31.6,0.00
2024-07-29,30.0,0.10
2024-07-30,30.9,0.00
2024-07-31,30.8,0.00
2024-08-01,30.0,0.00
2024-08-02,28.9,0.00
2024-08-03,28.9,0.00
2024-08-04,30.5,0.00
2024-08-05,31.3,0.00
2024-08-06,31.0,0.00
2024-08-07,30.9,0.00
2024-08-08,30.9,0.00
2024-08-09,32.1,0.00
2024-08-10,31.9,0.00
2024-08-11,31.3,0.00
2024-08-12,30.5,0.00
2024-08-13,26.9,0.00
2024-08-14,25.0,0.00
2024-08-15,23.4,0.00
2024-08-16,26.1,0.00
2024-08-17,28.3,0.00
2024-08-18,28.5,0.00
2024-08-19,27.3,0.00
2024-08-20,29.0,0.00
2024-08-21,27.8,0.00
2024-08-22,29.2,0.00
2024-08-23,29.0,0.00
2024-08-24,28.9,0.00
2024-08-25,27.1,0.00
2024-08-26,27.2,0.00
2024-08-27,28.4,0.00
2024-08-28,28.7,0.00
2024-08-29,23.9,11.70
2024-08-30,22.3,1.50
2024-08-31,22.0,2.30
2024-09-01,23.3,0.20
2024-09-02,24.3,0.00
2024-09-03,23.6,0.10
2024-09-04,21.2,0.20
2024-09-05,20.0,0.00
2024-09-06,20.4,0.00
2024-09-07,19.2,0.00
2024-09-08,21.2,0.00
2024-09-09,21.4,0.00
2024-09-10,22.8,0.00
2024-09-11,22.7,0.00
2024-09-12,22.6,0.00
2024-09-13,18.1,0.00
2024-09-14,18.3,0.00
2024-09-15,22.0,0.00
2024-09-16,21.8,0.00
2024-09-17,20.5,0.00
2024-09-18,20.5,0.20
2024-09-19,18.3,8.20
2024-09-20,17.7,3.90
2024-09-21,18.3,6.50
2024-09-22,18.4,0.10
2024-09-23,18.1,0.00
2024-09-24,16.5,0.00
2024-09-25,17.7,0.10
2024-09-26,19.1,0.40
2024-09-27,16.5,0.00
2024-09-28,14.3,0.00
2024-09-29,16.1,0.00
2024-09-30,19.4,0.00
2024-10-01,20.3,0.00
2024-10-02,21.0,3.40
2024-10-03,19.6,0.00
2024-10-04,18.0,0.00
2024-10-05,19.0,0.00
2024-10-06,20.2,0.00
2024-10-07,17.4,6.20
2024-10-08,14.8,1.10
2024-10-09,16.3,5.10
2024-10-10,14.4,0.00
2024-10-11,13.1,2.00
2024-10-12,16.2,10.20
2024-10-13,16.2,0.20
2024-10-14,17.0,1.00
2024-10-15,16.7,22.00
2024-10-16,17.2,7.30
2024-10-17,13.3,11.50
2024-10-18,12.1,0.00
2024-10-19,15.2,0.10
2024-10-20,14.7,0.00
2024-10-21,15.1,0.00
2024-10-22,15.9,0.40
2024-10-23,15.2,0.70
2024-10-24,15.3,0.90
2024-10-25,14.2,10.10
2024-10-26,9.1,1.50
2024-10-27,8.4,1.10
2024-10-28,12.6,3.10
2024-10-29,14.2,6.90
2024-10-30,14.4,11.10
2024-10-31,14.2,0.90
2024-11-01,14.3,5.00
2024-11-02,13.2,0.70
2024-11-03,13.0,0.20
2024-11-04,13.0,0.40
2024-11-05,13.3,0.00
2024-11-06,13.6,0.00
2024-11-07,12.6,0.00
2024-11-08,11.6,0.00
2024-11-09,11.6,0.00
2024-11-10,11.3,0.00
2024-11-11,11.9,0.00
2024-11-12,9.2,0.00
2024-11-13,6.3,6.20
2024-11-14,11.2,2.30
2024-11-15,12.6,0.60
2024-11-16,11.1,0.00
2024-11-17,11.1,0.10
2024-11-18,12.2,0.00
2024-11-19,10.9,0.00
2024-11-20,11.5,0.00
2024-11-21,10.0,0.00
2024-11-22,11.3,0.00
2024-11-23,10.6,1.00
2024-11-24,11.5,0.00
2024-11-25,14.0,1.70
2024-11-26,7.4,0.00
2024-11-27,6.9,0.00
