time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,11.4,0.30
2024-01-02,12.4,0.00
2024-01-03,15.1,0.00
2024-01-04,13.8,0.00
2024-01-05,14.1,3.90
2024-01-06,11.2,16.50
2024-01-07,11.1,0.00
2024-01-08,9.9,0.00
2024-01-09,9.9,0.00
2024-01-10,11.1,6.80
2024-01-11,9.5,10.20
2024-01-12,8.5,0.30
2024-01-13,10.3,0.00
2024-01-14,14.0,0.00
2024-01-15,14.0,0.10
2024-01-16,14.3,0.00
2024-01-17,16.6,0.00
2024-01-18,17.0,0.00
2024-01-19,12.6,7.40
2024-01-20,10.6,4.00
2024-01-21,8.9,0.00
2024-01-22,11.3,0.00
2024-01-23,12.9,0.00
2024-01-24,12.1,0.00
2024-01-25,14.0,0.00
2024-01-26,13.5,0.00
2024-01-27,13.2,0.00
2024-01-28,12.7,0.00
2024-01-29,13.5,0.00
2024-01-30,13.1,0.00
2024-01-31,11.3,0.00
2024-02-01,9.8,0.00
2024-02-02,11.1,0.00
2024-02-03,10.6,0.00
2024-02-04,11.5,0.00
2024-02-05,11.9,0.00
2024-02-06,12.5,0.00
2024-02-07,11.9,0.00
2024-02-08,13.3,0.00
2024-02-09,14.4,6.70
2024-02-10,14.6,2.20
2024-02-11,13.0,0.00
2024-02-12,14.9,0.00
2024-02-13,13.8,0.00
2024-02-14,13.8,0.00
2024-02-15,14.4,0.00
2024-02-16,14.0,0.50
2024-02-17,14.8,0.00
2024-02-18,13.6,0.00
2024-02-19,12.9,0.00
2024-02-20,12.1,0.00
2024-02-21,12.0,0.00
2024-02-22,15.4,0.00
2024-02-23,14.0,1.20
2024-02-24,12.2,1.70
2024-02-25,13.2,0.10
2024-02-26,14.3,8.40
2024-02-27,11.3,0.40
2024-02-28,11.0,6.10
2024-02-29,12.2,0.00
2024-03-01,11.5,19.60
2024-03-02,13.8,0.00
2024-03-03,12.5,6.50
2024-03-04,12.5,0.00
2024-03-05,12.8,0.00
2024-03-06,11.0,0.00
2024-03-07,11.7,0.00
2024-03-08,13.8,1.00
2024-03-09,13.2,15.50
2024-03-10,13.7,1.00
2024-03-11,14.0,0.00
2024-03-12,13.0,0.00
2024-03-13,11.1,0.00
2024-03-14,11.6,0.00
2024-03-15,14.5,0.00
2024-03-16,13.9,0.00
2024-03-17,15.0,0.00
2024-03-18,15.6,0.00
2024-03-19,15.4,0.00
2024-03-20,15.9,0.10
2024-03-21,17.1,0.00
2024-03-22,16.6,0.00
2024-03-23,16.1,0.00
2024-03-24,14.9,0.00
2024-03-25,14.8,1.70
2024-03-26,14.6,5.60
2024-03-27,14.3,0.30
2024-03-28,16.8,0.00
2024-03-29,17.9,0.00
2024-03-30,15.1,1.90
2024-03-31,15.9,9.30
2024-04-01,14.7,0.90
2024-04-02,15.0,0.00
2024-04-03,15.7,0.00
2024-04-04,15.4,0.00
2024-04-05,16.4,0.00
2024-04-06,19.3,0.00
2024-04-07,20.7,0.00
2024-04-08,18.8,0.00
2024-04-09,15.5,0.70
2024-04-10,14.3,0.00
2024-04-11,14.2,0.00
2024-04-12,16.2,0.00
2024-04-13,17.2,0.00
2024-04-14,17.9,0.00
2024-04-15,18.4,0.00
2024-04-16,16.8,0.80
2024-04-17,14.9,2.20
2024-04-18,14.8,2.80
2024-04-19,14.4,0.00
2024-04-20,14.6,0.00
2024-04-21,15.1,0.00
2024-04-22,11.6,8.10
2024-04-23,10.7,4.00
2024-04-24,12.0,1.10
2024-04-25,14.5,0.00
2024-04-26,15.2,1.10
2024-04-27,17.2,0.40
2024-04-28,16.5,26.10
2024-04-29,16.0,18.60
2024-04-30,15.7,4.60
2024-05-01,15.3,1.20
2024-05-02,15.1,0.00
2024-05-03,15.7,0.00
2024-05-04,16.1,0.00
2024-05-05,17.5,0.00
2024-05-06,18.9,0.40
2024-05-07,17.0,2.60
2024-05-08,17.3,3.00
2024-05-09,18.8,0.00
2024-05-10,17.2,0.00
2024-05-11,18.1,0.00
2024-05-12,18.4,0.00
2024-05-13,19.4,0.10
2024-05-14,19.4,0.80
2024-05-15,18.9,1.80
2024-05-16,17.1,0.00
2024-05-17,18.1,0.00
2024-05-18,18.4,0.00
2024-05-19,18.4,1.00
2024-05-20,19.2,0.80
2024-05-21,19.2,0.70
2024-05-22,18.8,0.90
2024-05-23,19.6,0.90
2024-05-24,21.0,0.00
2024-05-25,19.9,0.00
2024-05-26,20.7,0.00
2024-05-27,22.2,2.30
2024-05-28,21.2,0.00
2024-05-29,20.4,0.00
2024-05-30,20.9,0.00
2024-05-31,19.6,10.60
2024-06-01,19.8,0.00
2024-06-02,19.0,1.00
2024-06-03,19.6,0.00
2024-06-04,20.0,0.00
2024-06-05,20.7,0.00
2024-06-06,23.5,0.00
2024-06-07,24.7,0.00
2024-06-08,22.9,0.00
2024-06-09,22.7,1.00
2024-06-10,21.9,0.30
2024-06-11,20.4,16.20
2024-06-12,18.5,15.80
2024-06-13,19.4,0.20
2024-06-14,22.1,0.00
2024-06-15,22.5,0.00
2024-06-16,22.2,0.00
2024-06-17,23.4,0.00
2024-06-18,24.8,0.00
2024-06-19,23.2,0.40
2024-06-20,22.8,2.20
2024-06-21,23.5,0.00
2024-06-22,22.3,0.00
2024-06-23,21.5,1.80
2024-06-24,21.5,0.20
2024-06-25,22.0,0.00
2024-06-26,23.8,0.00
2024-06-27,26.2,0.00
2024-06-28,25.2,0.10
2024-06-29,23.9,0.00
2024-06-30,24.1,0.00
2024-07-01,23.3,1.00
2024-07-02,23.3,0.00
2024-07-03,23.7,0.00
2024-07-04,23.1,0.00
2024-07-05,24.6,0.00
2024-07-06,25.2,0.00
2024-07-07,24.2,0.00
2024-07-08,24.1,0.00
2024-07-09,24.4,0.00
2024-07-10,24.3,0.00
2024-07-11,24.6,0.00
2024-07-12,25.6,0.00
2024-07-13,25.7,0.00
2024-07-14,24.5,0.00
2024-07-15,24.9,0.00
2024-07-16,25.8,0.00
2024-07-17,27.1,0.00
2024-07-18,26.7,0.00
2024-07-19,27.6,0.00
2024-07-20,26.3,0.00
2024-07-21,26.3,0.00
2024-07-22,25.1,0.00
2024-07-23,25.3,0.00
2024-07-24,25.8,0.00
2024-07-25,27.0,0.00
2024-07-26,26.6,0.00
2024-07-27,26.9,0.00
2024-07-28,29.4,0.00
2024-07-29,29.2,0.00
2024-07-30,29.4,0.00
2024-07-31,29.8,0.00
2024-08-01,28.6,0.00
2024-08-02,27.9,0.00
2024-08-03,28.0,0.90
2024-08-04,26.8,0.00
2024-08-05,26.5,0.00
2024-08-06,27.3,0.00
2024-08-07,29.4,0.00
2024-08-08,29.5,0.00
2024-08-09,28.5,0.00
2024-08-10,29.5,0.00
2024-08-11,28.9,0.00
2024-08-12,28.0,0.00
2024-08-13,27.0,0.00
2024-08-14,26.4,5.40
2024-08-15,23.4,5.90
2024-08-16,24.1,4.50
2024-08-17,26.1,0.30
2024-08-18,25.9,0.00
2024-08-19,24.9,3.10
2024-08-20,24.7,0.00
2024-08-21,25.1,0.00
2024-08-22,25.5,0.00
2024-08-23,26.0,0.00
2024-08-24,26.3,0.00
2024-08-25,26.3,0.00
2024-08-26,25.8,0.00
2024-08-27,25.1,0.00
2024-08-28,25.5,0.00
2024-08-29,25.9,0.00
2024-08-30,26.2,0.90
2024-08-31,27.4,0.00
2024-09-01,27.0,0.00
2024-09-02,26.7,1.50
2024-09-03,24.5,26.10
2024-09-04,23.6,1.80
2024-09-05,23.4,0.50
2024-09-06,25.0,0.00
2024-09-07,25.4,0.00
2024-09-08,24.5,8.80
2024-09-09,23.0,0.50
2024-09-10,23.4,0.00
2024-09-11,21.2,0.00
2024-09-12,22.8,0.60
2024-09-13,19.5,1.00
2024-09-14,19.5,1.00
2024-09-15,20.2,0.00
2024-09-16,21.4,0.00
2024-09-17,20.9,0.00
2024-09-18,20.5,0.20
2024-09-19,20.7,0.00
2024-09-20,21.2,0.90
2024-09-21,21.1,4.30
2024-09-22,21.5,0.50
2024-09-23,20.9,0.20
2024-09-24,21.4,3.30
2024-09-25,22.3,0.00
2024-09-26,24.1,0.00
2024-09-27,24.6,0.00
2024-09-28,19.9,2.20
2024-09-29,19.2,0.10
2024-09-30,20.2,0.00
2024-10-01,20.0,0.00
2024-10-02,22.8,0.80
2024-10-03,21.6,0.70
2024-10-04,19.8,0.00
2024-10-05,18.8,0.50
2024-10-06,23.1,0.00
2024-10-07,23.9,0.00
2024-10-08,22.4,3.80
2024-10-09,22.5,0.00
2024-10-10,22.3,0.00
2024-10-11,19.7,0.00
2024-10-12,20.6,0.00
2024-10-13,22.1,0.00
2024-10-14,23.6,0.00
2024-10-15,22.5,0.00
2024-10-16,22.8,0.00
2024-10-17,22.0,0.50
2024-10-18,18.9,0.10
2024-10-19,17.5,0.00
2024-10-20,18.5,0.30
2024-10-21,19.6,1.30
2024-10-22,18.9,0.40
2024-10-23,19.5,0.50
2024-10-24,18.6,0.20
2024-10-25,17.7,0.10
2024-10-26,18.7,16.60
2024-10-27,16.9,0.10
2024-10-28,19.5,23.30
2024-10-29,21.5,0.10
2024-10-30,22.1,1.70
2024-10-31,20.8,1.80
2024-11-01,19.0,8.10
2024-11-02,18.9,0.70
2024-11-03,19.8,0.40
2024-11-04,20.3,0.20
2024-11-05,19.9,0.70
2024-11-06,18.3,0.70
2024-11-07,17.6,5.60
2024-11-08,17.1,1.00
2024-11-09,17.0,2.20
2024-11-10,16.6,2.80
2024-11-11,16.7,0.00
2024-11-12,14.1,11.20
2024-11-13,15.2,41.00
2024-11-14,16.8,0.00
