time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,11.2,0.00
2024-01-02,11.4,0.00
2024-01-03,11.0,0.00
2024-01-04,14.0,9.60
2024-01-05,11.5,0.20
2024-01-06,9.0,0.00
2024-01-07,7.8,0.00
2024-01-08,7.1,0.20
2024-01-09,9.9,5.70
2024-01-10,10.1,0.00
2024-01-11,9.0,0.00
2024-01-12,10.9,0.00
2024-01-13,11.0,0.00
2024-01-14,12.2,0.00
2024-01-15,14.6,0.10
2024-01-16,14.4,6.80
2024-01-17,16.4,8.30
2024-01-18,15.6,14.70
2024-01-19,14.6,23.20
2024-01-20,9.8,0.00
2024-01-21,11.3,0.00
2024-01-22,10.8,0.00
2024-01-23,13.5,0.00
2024-01-24,15.2,0.00
2024-01-25,15.5,0.00
2024-01-26,15.0,0.00
2024-01-27,14.8,0.00
2024-01-28,13.2,0.00
2024-01-29,12.5,0.00
2024-01-30,13.0,0.00
2024-01-31,13.5,0.00
2024-02-01,12.7,0.00
2024-02-02,12.6,0.00
2024-02-03,12.8,0.00
2024-02-04,12.7,0.00
2024-02-05,11.4,0.00
2024-02-06,12.8,0.00
2024-02-07,13.8,0.40
2024-02-08,13.0,9.10
2024-02-09,14.8,49.40
2024-02-10,13.3,0.40
2024-02-11,11.2,8.20
2024-02-12,18.2,2.30
2024-02-13,16.9,0.10
2024-02-14,18.1,0.00
2024-02-15,15.6,2.90
2024-02-16,14.4,0.00
2024-02-17,13.9,0.00
2024-02-18,13.5,0.00
2024-02-19,14.7,0.00
2024-02-20,15.8,0.00
2024-02-21,15.1,0.00
2024-02-22,15.0,0.30
2024-02-23,12.8,0.80
2024-02-24,11.9,0.50
2024-02-25,13.6,0.70
2024-02-26,14.2,1.20
2024-02-27,11.4,0.00
2024-02-28,11.1,0.00
2024-02-29,12.2,0.00
2024-03-01,11.6,0.00
2024-03-02,11.9,0.90
2024-03-03,11.7,0.20
2024-03-04,13.3,0.30
2024-03-05,12.6,0.00
2024-03-06,12.5,0.00
2024-03-07,11.9,12.90
2024-03-08,11.6,5.00
2024-03-09,12.4,13.50
2024-03-10,13.1,0.30
2024-03-11,13.0,0.00
2024-03-12,13.9,0.00
2024-03-13,14.4,0.00
2024-03-14,15.4,0.70
2024-03-15,15.3,0.20
2024-03-16,17.7,0.00
2024-03-17,18.8,0.00
2024-03-18,18.6,0.00
2024-03-19,18.8,0.00
2024-03-20,16.4,0.50
2024-03-21,17.1,2.70
2024-03-22,20.8,0.00
2024-03-23,21.6,0.00
2024-03-24,20.1,6.40
2024-03-25,15.6,16.70
2024-03-26,12.1,2.70
2024-03-27,14.2,5.40
2024-03-28,15.8,36.50
2024-03-29,13.9,25.00
