time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,11.7,0.00
2024-01-02,12.6,0.00
2024-01-03,17.8,0.00
2024-01-04,15.3,0.00
2024-01-05,13.6,3.20
2024-01-06,12.3,0.00
2024-01-07,11.4,0.00
2024-01-08,10.1,0.00
2024-01-09,9.7,0.00
2024-01-10,10.7,0.50
2024-01-11,10.5,0.40
2024-01-12,8.3,0.00
2024-01-13,8.2,0.00
2024-01-14,15.8,0.00
2024-01-15,17.7,2.80
2024-01-16,19.2,0.00
2024-01-17,17.5,0.00
2024-01-18,18.3,0.00
2024-01-19,13.0,12.90
2024-01-20,11.0,1.70
2024-01-21,10.7,0.00
2024-01-22,9.4,0.00
2024-01-23,13.1,0.00
2024-01-24,12.9,0.00
2024-01-25,12.2,0.00
2024-01-26,13.0,0.00
2024-01-27,11.4,0.00
2024-01-28,10.6,0.00
2024-01-29,12.3,0.00
2024-01-30,12.0,0.10
2024-01-31,11.0,0.00
2024-02-01,10.6,0.00
2024-02-02,10.6,0.00
2024-02-03,10.4,0.00
2024-02-04,10.5,0.00
2024-02-05,10.3,0.00
2024-02-06,11.3,0.00
2024-02-07,14.9,0.00
2024-02-08,16.9,0.00
2024-02-09,15.3,6.90
2024-02-10,14.9,0.00
2024-02-11,12.5,0.00
2024-02-12,16.7,0.00
2024-02-13,17.6,0.00
2024-02-14,13.5,0.00
2024-02-15,12.9,0.20
2024-02-16,12.9,4.60
2024-02-17,13.2,0.00
2024-02-18,12.5,0.00
2024-02-19,13.0,0.00
2024-02-20,12.4,0.00
2024-02-21,11.5,0.00
2024-02-22,18.2,0.00
2024-02-23,15.2,0.00
2024-02-24,13.4,0.00
2024-02-25,15.1,0.00
2024-02-26,16.3,0.60
2024-02-27,14.1,0.10
2024-02-28,13.1,0.00
2024-02-29,12.6,0.00
2024-03-01,14.8,0.00
2024-03-02,14.6,0.10
2024-03-03,12.5,1.30
2024-03-04,14.3,0.00
2024-03-05,14.1,0.00
2024-03-06,11.9,0.00
2024-03-07,13.4,0.40
2024-03-08,13.8,1.50
2024-03-09,11.5,5.00
2024-03-10,13.4,0.50
2024-03-11,15.4,0.00
2024-03-12,13.2,0.00
2024-03-13,12.0,0.00
2024-03-14,12.9,0.00
2024-03-15,17.2,0.00
2024-03-16,16.7,0.00
2024-03-17,17.0,0.00
2024-03-18,16.0,0.00
2024-03-19,15.3,0.00
2024-03-20,14.5,0.00
2024-03-21,15.2,1.50
2024-03-22,15.3,0.00
2024-03-23,15.1,0.00
