time,temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,8.1,0.00
2024-01-02,9.1,0.00
2024-01-03,14.1,2.30
2024-01-04,10.3,4.10
2024-01-05,8.5,4.40
2024-01-06,7.5,0.00
2024-01-07,6.6,0.00
2024-01-08,6.0,0.00
2024-01-09,5.5,0.00
2024-01-10,5.8,5.90
2024-01-11,4.8,0.20
2024-01-12,3.8,0.00
2024-01-13,2.9,0.00
2024-01-14,6.9,1.30
2024-01-15,9.2,1.00
2024-01-16,10.9,1.20
2024-01-17,13.5,0.20
2024-01-18,14.8,0.00
2024-01-19,5.1,19.50
2024-01-20,2.3,0.90
2024-01-21,3.2,0.00
2024-01-22,5.5,0.00
2024-01-23,11.3,0.00
2024-01-24,9.8,0.00
2024-01-25,10.3,0.00
2024-01-26,11.4,0.00
2024-01-27,8.4,0.00
2024-01-28,8.3,0.00
2024-01-29,9.3,0.30
2024-01-30,9.3,0.10
2024-01-31,7.7,0.00
2024-02-01,9.5,0.00
2024-02-02,11.7,0.00
2024-02-03,8.2,0.00
2024-02-04,8.6,0.00
2024-02-05,8.0,0.00
2024-02-06,10.2,0.00
2024-02-07,11.3,0.00
2024-02-08,13.5,0.00
2024-02-09,11.7,13.00
2024-02-10,10.6,3.90
2024-02-11,9.1,0.00
2024-02-12,11.6,0.40
2024-02-13,11.6,0.00
2024-02-14,13.4,0.00
2024-02-15,13.1,0.10
2024-02-16,12.7,4.90
2024-02-17,11.3,0.00
2024-02-18,11.5,0.00
2024-02-19,13.9,0.00
2024-02-20,11.9,0.00
2024-02-21,10.6,0.00
2024-02-22,13.7,4.90
2024-02-23,9.7,0.70
2024-02-24,8.9,0.00
2024-02-25,11.6,4.30
2024-02-26,11.7,3.00
2024-02-27,8.5,5.20
2024-02-28,9.7,0.00
2024-02-29,11.9,4.10
2024-03-01,10.1,0.20
2024-03-02,11.4,6.40
2024-03-03,8.0,1.40
2024-03-04,9.1,0.00
2024-03-05,9.2,0.00
2024-03-06,8.5,0.00
2024-03-07,11.3,0.10
2024-03-08,9.7,9.10
2024-03-09,10.0,6.80
2024-03-10,9.6,4.90
2024-03-11,10.0,0.20
2024-03-12,11.1,0.00
2024-03-13,11.4,0.00
2024-03-14,13.7,0.00
2024-03-15,15.8,0.00
2024-03-16,16.3,0.00
2024-03-17,18.4,0.10
2024-03-18,17.9,0.00
2024-03-19,18.4,0.00
2024-03-20,17.4,2.10
2024-03-21,16.8,1.80
2024-03-22,19.3,0.00
2024-03-23,16.1,0.00
2024-03-24,12.9,0.00
2024-03-25,11.3,13.40
2024-03-26,10.1,7.20
2024-03-27,11.8,0.30
2024-03-28,14.6,1.10
2024-03-29,15.5,9.10
2024-03-30,10.5,6.00
2024-03-31,11.2,1.90
2024-04-01,11.9,0.00
2024-04-02,13.2,0.00
2024-04-03,15.5,0.00
2024-04-04,16.9,0.00
2024-04-05,17.4,0.00
2024-04-06,18.7,0.00
2024-04-07,19.5,0.00
2024-04-08,18.6,4.00
2024-04-09,12.1,0.00
2024-04-10,12.7,0.00
2024-04-11,15.9,0.00
2024-04-12,18.3,0.00
2024-04-13,20.8,0.00
2024-04-14,22.2,0.00
2024-04-15,18.2,0.00
2024-04-16,14.0,0.00
2024-04-17,13.4,0.00
2024-04-18,13.1,0.00
2024-04-19,13.9,0.00
2024-04-20,16.9,0.00
2024-04-21,15.0,0.00
2024-04-22,11.8,0.00
2024-04-23,9.9,0.00
2024-04-24,11.3,0.00
2024-04-25,12.7,0.10
2024-04-26,13.9,0.70
2024-04-27,16.1,9.70
2024-04-28,15.7,0.10
2024-04-29,13.9,1.60
2024-04-30,16.7,0.00
2024-05-01,14.6,0.40
2024-05-02,13.7,0.20
2024-05-03,16.3,0.00
2024-05-04,21.1,0.10
2024-05-05,21.5,1.70
2024-05-06,17.0,1.90
2024-05-07,15.4,0.00
2024-05-08,17.3,0.00
2024-05-09,19.5,0.00
2024-05-10,21.4,0.00
2024-05-11,22.0,0.00
2024-05-12,22.0,0.00
2024-05-13,21.6,0.00
2024-05-14,17.6,7.40
2024-05-15,16.1,0.20
2024-05-16,16.9,0.30
2024-05-17,18.0,1.90
2024-05-18,17.7,0.30
2024-05-19,16.5,8.10
2024-05-20,16.4,0.00
2024-05-21,17.0,0.00
2024-05-22,18.1,0.10
2024-05-23,17.9,0.00
2024-05-24,19.0,0.00
2024-05-25,22.0,0.00
2024-05-26,23.1,0.00
2024-05-27,19.5,0.00
2024-05-28,21.5,0.00
2024-05-29,25.0,0.00
2024-05-30,21.8,0.00
2024-05-31,18.1,0.00
2024-06-01,18.9,0.00
2024-06-02,20.2,0.00
2024-06-03,21.4,0.00
2024-06-04,23.3,0.00
2024-06-05,26.0,0.00
2024-06-06,28.5,0.00
2024-06-07,28.7,0.00
2024-06-08,27.1,0.00
2024-06-09,20.3,1.10
2024-06-10,18.4,2.00
2024-06-11,18.6,0.00
2024-06-12,17.6,0.90
2024-06-13,19.6,0.00
2024-06-14,25.4,0.00
2024-06-15,21.9,0.00
2024-06-16,23.0,0.00
2024-06-17,26.0,0.00
2024-06-18,26.5,0.00
2024-06-19,25.1,0.70
2024-06-20,19.8,18.10
2024-06-21,21.3,0.00
2024-06-22,21.4,0.00
2024-06-23,21.7,0.00
2024-06-24,23.1,0.00
2024-06-25,26.6,0.00
2024-06-26,27.9,0.00
2024-06-27,28.7,0.00
2024-06-28,27.6,0.00
2024-06-29,23.7,4.10
2024-06-30,23.6,5.10
2024-07-01,21.6,0.00
2024-07-02,21.5,0.00
2024-07-03,22.7,0.00
2024-07-04,25.4,0.00
2024-07-05,27.1,0.10
2024-07-06,24.8,1.40
2024-07-07,22.3,0.00
2024-07-08,27.1,0.10
2024-07-09,27.7,0.00
2024-07-10,29.8,0.00
2024-07-11,31.5,0.00
2024-07-12,25.3,0.00
2024-07-13,23.2,0.00
2024-07-14,28.1,0.00
2024-07-15,30.2,0.00
2024-07-16,26.4,0.00
2024-07-17,26.2,0.00
2024-07-18,30.6,0.00
2024-07-19,32.4,0.00
2024-07-20,32.3,0.00
2024-07-21,23.2,0.00
2024-07-22,23.7,0.00
2024-07-23,29.7,0.00
2024-07-24,30.4,0.00
2024-07-25,28.8,0.00
2024-07-26,28.5,0.00
2024-07-27,30.9,0.00
2024-07-28,30.7,0.00
2024-07-29,31.8,0.00
2024-07-30,34.5,0.30
2024-07-31,34.4,0.00
2024-08-01,31.0,0.00
2024-08-02,25.9,0.00
2024-08-03,25.8,0.00
2024-08-04,28.5,0.00
2024-08-05,30.3,0.00
2024-08-06,29.7,0.00
2024-08-07,28.7,0.00
2024-08-08,29.5,0.00
2024-08-09,31.0,0.00
2024-08-10,32.4,0.00
2024-08-11,32.3,0.00
2024-08-12,31.6,0.00
2024-08-13,27.6,0.50
2024-08-14,22.8,3.40
2024-08-15,22.2,0.00
2024-08-16,23.5,0.00
2024-08-17,26.8,0.00
2024-08-18,25.5,0.00
2024-08-19,23.4,0.00
2024-08-20,25.2,0.00
2024-08-21,26.2,0.00
2024-08-22,28.7,0.00
2024-08-23,28.4,0.00
2024-08-24,29.1,3.90
2024-08-25,23.8,0.00
2024-08-26,23.8,0.00
2024-08-27,27.1,0.00
2024-08-28,28.6,0.00
2024-08-29,26.0,7.00
2024-08-30,24.6,7.40
2024-08-31,25.8,3.50
2024-09-01,23.5,49.40
2024-09-02,24.1,13.10
2024-09-03,21.5,1.00
2024-09-04,19.0,12.50
2024-09-05,18.5,0.00
2024-09-06,21.1,0.60
2024-09-07,21.5,0.00
2024-09-08,19.7,0.00
2024-09-09,19.6,0.00
2024-09-10,19.6,0.00
2024-09-11,18.7,0.00
2024-09-12,19.3,0.00
2024-09-13,16.1,0.00
2024-09-14,16.2,0.00
2024-09-15,18.3,0.00
2024-09-16,18.4,0.00
2024-09-17,18.4,0.00
2024-09-18,18.2,0.40
2024-09-19,20.1,0.00
2024-09-20,19.3,6.70
2024-09-21,18.3,23.40
2024-09-22,18.9,0.00
2024-09-23,18.1,0.00
2024-09-24,18.7,0.00
2024-09-25,20.7,0.00
2024-09-26,23.2,0.00
2024-09-27,18.8,0.10
2024-09-28,15.3,0.00
2024-09-29,15.9,0.00
2024-09-30,19.1,0.00
2024-10-01,20.3,0.10
2024-10-02,20.1,14.70
2024-10-03,16.4,0.30
2024-10-04,15.2,0.00
2024-10-05,15.6,0.00
2024-10-06,20.6,0.00
2024-10-07,19.9,2.90
2024-10-08,19.2,0.00
2024-10-09,20.3,3.00
2024-10-10,16.7,0.00
2024-10-11,16.0,0.00
2024-10-12,16.5,6.70
2024-10-13,17.8,0.00
2024-10-14,19.7,0.20
2024-10-15,19.4,31.00
2024-10-16,19.7,4.70
2024-10-17,15.4,15.20
2024-10-18,14.7,0.00
2024-10-19,16.5,0.00
2024-10-20,18.1,0.00
2024-10-21,17.6,0.00
2024-10-22,16.5,0.90
2024-10-23,15.2,0.00
2024-10-24,16.0,0.00
2024-10-25,15.8,11.20
2024-10-26,12.7,7.30
2024-10-27,10.8,7.30
2024-10-28,13.6,8.30
2024-10-29,14.7,0.50
2024-10-30,16.6,16.80
2024-10-31,15.9,0.40
2024-11-01,15.5,1.00
2024-11-02,14.7,6.90
2024-11-03,14.6,0.00
2024-11-04,15.9,0.50
2024-11-05,16.6,0.40
2024-11-06,15.0,0.00
2024-11-07,14.8,0.00
2024-11-08,14.2,0.00
2024-11-09,14.2,0.00
2024-11-10,13.9,0.00
2024-11-11,13.8,0.00
2024-11-12,11.6,0.00
2024-11-13,8.8,0.10
2024-11-14,12.2,0.00
2024-11-15,11.9,0.00
2024-11-16,11.6,0.00
2024-11-17,11.3,0.00
2024-11-18,12.3,0.00
2024-11-19,11.8,0.00
2024-11-20,14.3,0.00
2024-11-21,15.5,0.00
2024-11-22,11.5,2.90
2024-11-23,8.8,0.00
2024-11-24,12.3,0.00
2024-11-25,15.2,3.00
2024-11-26,10.1,0.00
2024-11-27,8.8,0.00
2024-11-28,7.2,0.00
2024-11-29,7.4,0.00
2024-11-30,10.1,0.00
2024-12-01,8.5,0.00
2024-12-02,9.9,0.30
2024-12-03,11.6,0.60
2024-12-04,10.3,2.10
2024-12-05,10.6,0.00
2024-12-06,14.2,0.00
2024-12-07,12.1,0.00
2024-12-08,8.0,0.60
2024-12-09,7.3,0.00
2024-12-10,6.6,0.00
2024-12-11,4.6,0.00
2024-12-12,4.8,3.10
2024-12-13,6.6,0.20
2024-12-14,6.4,0.00
2024-12-15,8.2,0.00
2024-12-16,5.3,0.00
2024-12-17,3.9,0.00
2024-12-18,6.9,0.00
2024-12-19,12.0,0.60
2024-12-20,8.9,0.00
2024-12-21,9.0,0.00
2024-12-22,10.2,0.00
2024-12-23,9.1,1.00
2024-12-24,10.8,0.00
2024-12-25,12.0,0.00
2024-12-26,8.0,0.00
2024-12-27,9.6,0.00
2024-12-28,5.6,0.00
2024-12-29,4.1,0.00
2024-12-30,2.8,0.00
2024-12-31,2.0,0.00
